max_depth,min_impurity_decrease,accuracy,precision,recall,f1
1,0.0,0.7025641025641025,0.7181818181818181,0.7452830188679245,0.7314814814814815
2,0.0,0.7025641025641025,0.7181818181818181,0.7452830188679245,0.7314814814814815
3,0.0,0.7076923076923077,0.810126582278481,0.6037735849056604,0.6918918918918919
4,0.0,0.7384615384615385,0.7570093457943925,0.7641509433962265,0.7605633802816901
5,0.0,0.7384615384615385,0.7722772277227723,0.7358490566037735,0.7536231884057971
6,0.0,0.7384615384615385,0.7391304347826086,0.8018867924528302,0.7692307692307693
7,0.0,0.6974358974358974,0.7155963302752294,0.7358490566037735,0.7255813953488373
8,0.0,0.7230769230769231,0.7203389830508474,0.8018867924528302,0.7589285714285714
9,0.0,0.7282051282051282,0.7345132743362832,0.7830188679245284,0.7579908675799086
10,0.0,0.7435897435897436,0.7456140350877193,0.8018867924528302,0.7727272727272727
1,0.001,0.7025641025641025,0.7181818181818181,0.7452830188679245,0.7314814814814815
2,0.001,0.7025641025641025,0.7181818181818181,0.7452830188679245,0.7314814814814815
3,0.001,0.7076923076923077,0.810126582278481,0.6037735849056604,0.6918918918918919
4,0.001,0.7384615384615385,0.7570093457943925,0.7641509433962265,0.7605633802816901
5,0.001,0.7384615384615385,0.7722772277227723,0.7358490566037735,0.7536231884057971
6,0.001,0.7384615384615385,0.7391304347826086,0.8018867924528302,0.7692307692307693
7,0.001,0.6974358974358974,0.7155963302752294,0.7358490566037735,0.7255813953488373
8,0.001,0.7230769230769231,0.7203389830508474,0.8018867924528302,0.7589285714285714
9,0.001,0.7282051282051282,0.7345132743362832,0.7830188679245284,0.7579908675799086
10,0.001,0.7435897435897436,0.7456140350877193,0.8018867924528302,0.7727272727272727
1,0.005,0.7025641025641025,0.7181818181818181,0.7452830188679245,0.7314814814814815
2,0.005,0.7025641025641025,0.7181818181818181,0.7452830188679245,0.7314814814814815
3,0.005,0.7076923076923077,0.810126582278481,0.6037735849056604,0.6918918918918919
4,0.005,0.7384615384615385,0.7570093457943925,0.7641509433962265,0.7605633802816901
5,0.005,0.7384615384615385,0.7722772277227723,0.7358490566037735,0.7536231884057971
6,0.005,0.7384615384615385,0.7391304347826086,0.8018867924528302,0.7692307692307693
7,0.005,0.6974358974358974,0.7155963302752294,0.7358490566037735,0.7255813953488373
8,0.005,0.7230769230769231,0.7203389830508474,0.8018867924528302,0.7589285714285714
9,0.005,0.7282051282051282,0.7345132743362832,0.7830188679245284,0.7579908675799086
10,0.005,0.7487179487179487,0.7478260869565218,0.8113207547169812,0.7782805429864253
1,0.01,0.7025641025641025,0.7181818181818181,0.7452830188679245,0.7314814814814815
2,0.01,0.7025641025641025,0.7181818181818181,0.7452830188679245,0.7314814814814815
3,0.01,0.7076923076923077,0.810126582278481,0.6037735849056604,0.6918918918918919
