model,accuracy,precision,recall,f1,max_depth,min_impurity_decrease
Custom Decision Tree,0.7616279069767442,0.7452830188679245,0.8494623655913979,0.7939698492462312,10.0,0.015
Sklearn Decision Tree,0.7383720930232558,0.7142857142857143,0.8602150537634409,0.7804878048780488,,
Logistic Regression,0.7848837209302325,0.7916666666666666,0.8172043010752689,0.8042328042328042,,
kNN,0.7151162790697675,0.7075471698113207,0.8064516129032258,0.7537688442211056,,
